gene	X921.D28A	X921.D28B	X921.D28C	X921.D42A	X921.D42B	X921.D42C
CBLL2	-0.0782905493746591	-0.159254470777175	-0.045658808979507	-0.136680898789789	-0.200641467576846	-0.0431748682302147
CCDC69	-0.220917655736784	-0.288351590844131	-0.242402816952235	-0.3393361522447	-0.270555063002999	-0.1861084539758
CCND1	-1.79722708187508	-1.61212672926481	-1.6998151024069	-2.09276565589873	-1.98870699216618	-1.97408773980363
CCND3	-0.632455109189725	-0.727446525321129	-0.730836614449259	-0.785805407643095	-0.751690165133964	-0.834182166193969
CCNE1	-0.21109930996215	-0.281684100849824	-0.190377693141816	-0.364348770874169	-0.338698393227287	-0.169459774324289
CCNE2	-0.340963394558527	-0.365143967928703	-0.353721827761223	-0.559455138685444	-0.331782806301654	-0.438646023094401
CCNL1	-0.346782847842832	-0.340554948624163	-0.298676504884124	-0.313510186388274	-0.444830067112081	-0.287330985083455
CCNL2	-0.289121426639682	-0.281312345160065	-0.377620191962631	-0.345494667919755	-0.286770313997786	-0.322826173682311
CCNT1	-0.72738190521948	-0.664117824648563	-0.649862286444842	-0.974503731401248	-0.841466717131664	-0.803947523264406
CCNT2	-0.51881304949738	-0.565740881682286	-0.564567015369194	-0.725429838918345	-0.73246269457513	-0.664559812057258
CCT6A	-1.27547384033531	-1.0289843585831	-1.34011555575057	-1.5782526721356	-1.23313956174206	-1.6644719203408
CCT6B	-0.328272347053772	-0.353589053907228	-0.481112197514936	-0.469080853299035	-0.480477374899297	-0.644391567009813
CD163L1	-0.0977609198372228	-0.00491765517226905	0.0383222137800674	-0.256000941499866	0.0973014621410153	0.0691848755460338
CD44	-0.316805593799255	-0.23338067745038	-0.247294747939321	-0.549684792777507	-0.302161666062272	-0.300756573522674
CD72	-0.185093791937265	-0.186023303783912	-0.134234515852653	-0.222575376238073	-0.130889239141048	-0.125550953744514
CDC34	-0.468050080053891	-0.407384149105129	-0.483952659134138	-0.578772551905466	-0.357096194454336	-0.461944075459579
CDIPT	-1.1630131558972	-1.0034976205415	-1.31607807010733	-1.58273764187125	-1.15797860912277	-1.54886623896211
CDK16	-0.0288044071222788	0.0275414045024216	0.0215566453798254	-0.101718394652458	0.0885150602901571	-0.0122588481153746
CDK17	0.0734172141963033	0.0619460765714351	0.0338783309432492	0.175930584594683	0.180359978800536	0.0912591343937085
CDK19	-0.176691780570228	-0.124487753118797	-0.203287581294421	-0.236811723853244	-0.238948891881733	-0.218453126147164
CDK2	-0.948671244488942	-1.12002979751064	-0.969164786993731	-1.38168373761525	-1.22399397966412	-1.20028954903189
CDK5R1	-0.435484919503679	-0.587457254947114	-0.621510028910848	-0.348881047167279	-0.858907211289143	-0.791774523406554
CDK5R2	-0.393173510303441	-0.451913289846106	-0.412975197911114	-0.508993683227286	-0.53264519045192	-0.585086673571739
CDK7	-0.980453158951209	-0.901760571248766	-1.0176110183521	-1.40182104288342	-1.21817423293289	-1.20310826936928
CDK8	-0.522280448952109	-0.524530166322463	-0.559711108647843	-0.714172014137711	-0.635137772758447	-0.970269594083674
CDNF	-0.0972608762789393	-0.181147438282887	-0.295132296983299	0.0224514867440527	-0.283651226740196	-0.293796468545677
CDS1	-0.132275982079333	-0.0613247241551165	-0.0969963046886185	-0.115737439885946	-0.135822828456383	-0.067265530528906
CDS2	-0.932868087673833	-1.12962876313459	-1.03432520116151	-1.06921907234579	-1.5177593788198	-1.61483588096026
CEACAM1	-0.397657460687392	-0.448664331169169	-0.410500221870944	-0.448243806116314	-0.538207626009296	-0.473626052859174
CELA2A	-0.289338045209243	-0.211138006473266	-0.20099228763643	-0.345573648991189	-0.0187188166184355	-0.145054595819277
CFL1	-0.673905108828001	-0.51730610024134	-0.606438556729199	-0.861497344104415	-0.604537950666587	-0.701378817660003
CHM	0.0533461609614381	0.0985423097119552	0.0405207511574267	0.0461414391652538	0.04900624915089	0.155716925440867
CHML	-0.152014297658164	-0.196295921114416	-0.117298795076351	-0.232934704940757	-0.222273557229219	-0.159560304336664
CHMP1A	-0.693258836297142	-0.666934840727973	-0.69522904729665	-0.615172366458042	-0.722478956212307	-0.784880389820709
CHMP1B	-0.262382465954062	-0.201881653384602	-0.237590055466345	-0.271748249299685	-0.280453492160552	-0.237090991893541
CHORDC1	-1.13902885956754	-1.44391972006326	-1.11888142676346	-1.46719605436486	-1.58907210724415	-1.59011272460458
CHRNB3	-0.539608436928256	-0.490861938716646	-0.459074108060568	-0.832513372433403	-0.591365903802839	-0.425520332954329
CHSY1	-0.0824576934868895	-0.119859837908629	-0.183181742865283	-0.182627872314658	-0.100593501431427	-0.167123885901864
CHSY3	-0.360558274661123	-0.392992848836896	-0.321959354783467	-0.298306978713157	-0.376931196672599	-0.356840301124513
CHUK	-0.27398738918088	-0.335172780340668	-0.373056867770158	-0.317256044104626	-0.503273432817505	-0.467961359879514
CKAP5	-1.07142192072318	-1.22536719807645	-1.1295778238242	-1.4835638080176	-1.54055882029624	-1.56161863261184
CLASP1	-0.473386189224131	-0.375824162021185	-0.365928004573146	-0.563902117198387	-0.552958855661724	-0.46723011068832
CLASP2	-0.152879496368463	-0.12657455053303	-0.237363535822881	-0.120654043459494	-0.0178703706144	-0.405751071120064
CLCA1	-0.147966526372734	-0.103699293024251	-0.234996120657806	-0.175188961906301	-0.101140020032767	-0.316870005151026
CLDN4	-0.413162491032189	-0.638937181557807	-0.477631028655507	-0.410842416826157	-0.699343629815259	-0.541592819735941
CLIP4	0.0519053654066198	-0.0416543123762489	-0.0365003167549695	0.0333312198781794	-0.027691361621388	-0.0575225780971028
CLNS1A	-1.22717012510989	-1.2973088817359	-1.22004335445437	-1.60150247392878	-1.71006350551855	-1.55437280230595
CLTA	-0.626946859243238	-0.664401892152666	-0.666030036696207	-0.867901720992376	-0.809838605859089	-0.756439490393035
CLTB	-0.254357218496665	-0.280912156672677	-0.322252192119763	-0.281875644505766	-0.302080916401847	-0.373509719566596
CLTC	-1.19046777840438	-1.38027602933774	-1.32777811681747	-1.63138642901838	-1.78980866126699	-1.50812194707758
CLTCL1	-0.161383360917704	-0.144322916144128	-0.242722926826765	-0.00290177628191391	-0.0666064369583482	-0.163586748591918
CNOT6	-0.265411030353951	-0.324933707629289	-0.242793370594976	-0.315221122574512	-0.261208776035491	-0.253063248368299
CNOT6L	-0.0141978322791725	-0.13790661118818	-0.144653988080074	0.00495297102964474	-0.120988557781144	-0.162940311404056
CNOT7	-0.676529936391196	-0.710830007724778	-0.503911765842189	-0.693931631464077	-1.09050949524493	-0.772437156802028
CNOT8	-0.339835554622055	-0.211197486580623	-0.286420988745616	-0.481553543245714	-0.194049272750082	-0.287418837771439
COPA	-1.11745461564769	-1.29842507669853	-1.57463348293068	-1.30383677617388	-1.41593402943897	-2.14349780912828
COPG1	-0.475740824552357	-0.358020462842751	-0.435033759996802	-0.597506770680359	-0.503880838089112	-0.486316160848924
COPG2	-0.261545829697543	-0.16609889625926	-0.149926466503606	-0.3728355829627	-0.210150502730425	-0.0882312054057218
COPS7A	-0.358849067403756	-0.375482067906881	-0.387269395807237	-0.547703288711305	-0.403685455704166	-0.46123443987872
COPS7B	-0.452523193336743	-0.45390195193645	-0.362930827414781	-0.66337562319377	-0.657571478310222	-0.557685163888702
COPZ1	-0.735390874730708	-0.676828997009451	-0.640352949367853	-0.807960939390689	-0.828134061770691	-0.762034585558646
COPZ2	-0.339914047880695	-0.353373906696261	-0.197030083419222	-0.410725579736625	-0.338338493860913	-0.173902673998972
COQ10A	-0.356670221720466	-0.527630583663792	-0.521477067430226	-0.336601322251766	-0.579958326306363	-0.451761499163892
COQ10B	-0.170577656461945	-0.150582382399254	-0.145995309703129	-0.255820442777142	-0.0912822408426137	-0.214347689354213
COX4I1	-0.544273524340572	-0.700793501640606	-0.646785846254784	-0.698177985517473	-0.955412954459158	-0.798312505921712
COX4I2	-0.435081744961419	-0.357336534738121	-0.505886492240564	-0.527950525973611	-0.400003646034135	-0.466465879808393
COX6B1	-0.705788098111939	-0.860540396027329	-0.78843974280703	-0.900224151736786	-0.940179670321061	-0.912395405119401
COX6B2	-0.414654281024445	-0.385293967194444	-0.400669098560096	-0.432055124503916	-0.424303419200309	-0.489525514952932
CPS1	-0.240386375748086	-0.181844730577178	-0.165498820673228	-0.288755860734464	-0.134022945013498	-0.165378408993311
CPSF3	-0.805010752150494	-0.842678150562589	-0.638452461750019	-1.05769402843786	-0.825841941784519	-0.810745064392141
CREBBP	-0.394566095752257	-0.283518081577123	-0.381012868938545	-0.128791067746745	-0.153452123114897	-0.275507923443494
CRK	-0.417520563102856	-0.348418868092938	-0.486383331614919	-0.569440144509375	-0.512777141929524	-0.597505579878473
CRKL	-0.845086605055345	-0.860959083853821	-0.789159669919395	-0.992474759829861	-0.965959652900859	-0.949681630977963
CRNN	-0.269908937961544	-0.291385668661627	-0.353569587529453	-0.29962576481342	-0.50152239862888	-0.47148115023901
CRX	-0.145951896621582	-0.191673604179474	-0.286424892569148	-0.306951241438104	-0.390510231255355	-0.398138506758239
CRY1	-0.423003992872675	-0.307412675156854	-0.362943977363113	-0.626981762792084	-0.391383119075072	-0.466338063114868
CRY2	-0.494940272362942	-0.465539894218422	-0.455406354073258	-0.558621297650861	-0.467032748145722	-0.447972625348729
CRYBB2	-0.282559136698279	-0.30880954651978	-0.311058941945481	-0.203135485696659	-0.260078177144898	-0.278397842304599
