gene	X921.D28A	X921.D28B	X921.D28C	X921.D42A	X921.D42B	X921.D42C
RPL21	-0.266067876974473	-0.114175300450988	-0.184122928714043	-0.362400721419179	-0.145048472931098	-0.0557670609296739
RPL27A	-0.298608630971823	-0.293870379360182	-0.149121732045561	-0.278900308015853	-0.135603509804531	-0.0739867336345788
RPL3	-0.483648800807429	-0.65401505363891	-0.466501134208012	-0.591365861250689	-0.680855923077927	-0.632208548562342
RPL31	-0.250594865189232	-0.213653205704242	-0.465731168282524	-0.47693350376377	-0.427119526607242	-0.73574490705253
RPL36	-0.802227542606634	-0.912519033948316	-0.92202341290815	-1.11477382989038	-1.33849359087272	-1.21912590683506
RPL37A	-0.629701411402552	-0.600072030308509	-0.940406157235217	-0.635820294908486	-0.809560927409478	-0.692705381957449
RPL3L	-0.262721861805931	-0.187122461282647	-0.136264970428172	-0.301171997630382	-0.21933645655436	-0.196095999909509
RPL5	-0.545418638595951	-0.617071007325585	-1.01012272031699	-0.648050372858786	-0.620811430174345	-1.30355291596197
RPL6	-0.194750799356283	-0.260145739140084	-0.230556452431098	-0.607915077205478	-0.557891677127967	-0.442797551392652
RPL8	-0.657412387151446	-0.678889430381126	-0.689332112102294	-0.836342222126466	-1.03612412933643	-0.771485914682736
RPP14	-0.328562253140415	-0.36132386423651	-0.20276557087576	-0.297247583286707	-0.443717199052752	-0.261228823009213
RPP21	-1.39069269333993	-1.3943158063578	-1.54834019548542	-1.53734293467707	-1.84688956113128	-1.56009807871539
RPRD1A	-0.275047664134207	-0.271837219645921	-0.336894147242214	-0.399234807470736	-0.331585320392545	-0.562710258028477
RPRD1B	-0.152436965816058	-0.28923013528971	-0.153257180028774	-0.0475447937680613	-0.106321237581146	-0.105167355924541
RPS11	-0.440620020514553	-0.416438370083563	-0.382426787471462	-1.09056242576559	-0.52012684152139	-0.416927515411849
RPS15	-0.429997463344409	-0.46660069276841	-0.365257289280799	-0.496893126556066	-0.682681706293147	-0.315290020628407
RPS19	-0.84047987358987	-0.706126052825986	-0.758325369244089	-1.47584231899798	-0.934853497094886	-0.848801721401785
RPS23	-0.78488658052754	-0.556050532427257	-0.618270524050417	-0.773437361349604	-0.516009470683747	-0.307766079202077
RPS28	-0.217212548089209	-0.175660973908311	-0.178392193482873	-0.177555952180801	-0.400870575350249	-0.231075195746461
RPS3	-0.78309433472873	-1.09652033178378	-0.701413665564859	-1.15490830344112	-1.33329860856228	-1.08519063896503
RPS5	-1.05283041281888	-1.02885268477839	-0.854876607719502	-1.20023655737855	-1.25768662093537	-1.03807349390201
RPS7	-0.170213050661868	0	-0.0168854224280271	0	0	0
RPS8	-0.863584144487732	-0.93617793588536	-1.33268363347019	-1.68285801182429	-1.40860125451785	-1.4007985417921
RRAGC	-0.563794693757438	-0.769612111040805	-0.509338446388231	-0.64684462273727	-1.11476374058543	-0.523884308560847
RRAGD	-0.128434858367152	-0.246799182442129	-0.279395503022917	-0.239631373573509	-0.358556702133833	-0.374491896667505
RRM1	-1.17421298506715	-1.05881574284939	-1.1390381960406	-1.61850357216582	-1.53605906182855	-1.43344791008873
RRM2	-1.11470721239355	-1.21072388479598	-1.29359267670689	-1.23694639464599	-1.81128330056782	-1.52396524526901
RRM2B	-0.473824052769241	-0.482412138588662	-0.577426600334884	-0.517991653437997	-0.654025386668273	-0.66646743497338
RSBN1	-0.413567387535631	-0.362818171325832	-0.427422441041417	-0.413832651979321	-0.486956747095725	-0.517514430916521
RSBN1L	-0.50195424038552	-0.531273784563029	-0.665579682819008	-0.409474493473373	-0.713810421714004	-0.804611853634502
RSC1A1	-0.160469544630706	-0.141879941941806	-0.0626833991228059	-0.175882514695169	-0.28951154364399	-0.149449524852298
RSPH1	-0.119934389229618	-0.139396713147941	-0.074186390750612	-0.261648870491976	-0.210338310572346	-0.0148480438049821
RTP1	-0.184875631340734	-0.157449997208982	-0.146365835988865	-0.150734615469859	-0.265080115885375	-0.25524592328088
RUNX1	-0.223216464973675	-0.227897931412127	-0.168614129005065	-0.215411204610062	-0.2850882965715	-0.131606447275248
RXFP3	-0.377243552147415	-0.314228178342013	-0.389760997959297	-0.312816273248294	-0.269219360842406	-0.464957180532888
