"geneSymbol","modelName","tissue","cancerType","fc_clean","bf_scaled","modelId","geneId","isPanCancer","source"
"RPS13","Mel-202","Eye","Melanoma","-2.25958","-15.052","SIDM01357","SIDG32953","true","Broad"
"YARS2","Mel-202","Eye","Melanoma","-2.258","-15.039","SIDM01357","SIDG41299","true","Broad"
"VPS25","Mel-202","Eye","Melanoma","-2.25018","-14.825","SIDM01357","SIDG40878","true","Broad"
"CLNS1A","Mel-202","Eye","Melanoma","-2.2468","-15.074","SIDM01357","SIDG04881","true","Broad"
"TOP2A","Mel-202","Eye","Melanoma","-2.2385","-14.849","SIDM01357","SIDG38342","true","Broad"
"XAB2","Mel-202","Eye","Melanoma","-2.23783","-14.877","SIDM01357","SIDG41201","true","Broad"
"UFD1","Mel-202","Eye","Melanoma","-2.22243","-15.106","SIDM01357","SIDG40276","true","Broad"
"RPL37","Mel-202","Eye","Melanoma","-2.22006","-14.984","SIDM01357","SIDG32508","true","Broad"
"EIF3G","Mel-202","Eye","Melanoma","-2.21961","-15.083","SIDM01357","SIDG07550","true","Broad"
"PABPN1","Mel-202","Eye","Melanoma","-2.21541","-14.523","SIDM01357","SIDG23808","true","Broad"
"DTL","Mel-202","Eye","Melanoma","-2.21343","-14.648","SIDM01357","SIDG07030","true","Broad"
"POLR2L","Mel-202","Eye","Melanoma","-2.21336","-14.507","SIDM01357","SIDG25238","true","Broad"
"CTDP1","Mel-202","Eye","Melanoma","-2.21221","-14.524","SIDM01357","SIDG05649","true","Broad"
"EEF1A1","Mel-202","Eye","Melanoma","-2.21209","-14.523","SIDM01357","SIDG07321","true","Broad"
"PSMD7","Mel-202","Eye","Melanoma","-2.20927","-14.997","SIDM01357","SIDG26120","true","Broad"
"NARS1","Mel-202","Eye","Melanoma","-2.20874","-14.891","SIDM01357","SIDG21367","true","Broad"
"PHB2","Mel-202","Eye","Melanoma","-2.20833","-14.607","SIDM01357","SIDG24502","true","Broad"
"RPL27","Mel-202","Eye","Melanoma","-2.20781","-14.883","SIDM01357","SIDG32169","true","Broad"
"RACK1","Mel-202","Eye","Melanoma","-2.20605","-14.971","SIDM01357","SIDG26591","true","Broad"
"ATP6V0C","Mel-202","Eye","Melanoma","-2.20249","-14.56","SIDM01357","SIDG01905","true","Broad"
"NKAP","Mel-202","Eye","Melanoma","-2.19766","-15.655","SIDM01357","SIDG21890","true","Broad"
"HAUS5","Mel-202","Eye","Melanoma","-2.18851","-14.599","SIDM01357","SIDG11011","true","Broad"
"SF3B4","Mel-202","Eye","Melanoma","-2.18507","-14.281","SIDM01357","SIDG34255","true","Broad"
"COPG1","Mel-202","Eye","Melanoma","-2.18207","-15.521","SIDM01357","SIDG05173","","Broad"
"POLR2D","Mel-202","Eye","Melanoma","-2.17762","-14.636","SIDM01357","SIDG25225","true","Broad"
"SARS1","Mel-202","Eye","Melanoma","-2.17587","-14.235","SIDM01357","SIDG33691","true","Broad"
"RPSA","Mel-202","Eye","Melanoma","-2.17558","-14.233","SIDM01357","SIDG33319","true","Broad"
"TINF2","Mel-202","Eye","Melanoma","-2.17526","-15.463","SIDM01357","SIDG37739","true","Broad"
"DYNC1I2","Mel-202","Eye","Melanoma","-2.17433","-16.073","SIDM01357","SIDG07177","true","Broad"
"CCNA2","Mel-202","Eye","Melanoma","-2.16792","-14.656","SIDM01357","SIDG03827","true","Broad"
"ETF1","Mel-202","Eye","Melanoma","-2.1676","-14.654","SIDM01357","SIDG08148","true","Broad"
"THOC2","Mel-202","Eye","Melanoma","-2.16737","-14.552","SIDM01357","SIDG37652","true","Broad"
"DDX18","Mel-202","Eye","Melanoma","-2.16252","-14.101","SIDM01357","SIDG06223","true","Broad"
"INTS11","Mel-202","Eye","Melanoma","-2.16062","-14.254","SIDM01357","SIDG13153","true","Broad"
"WDR43","Mel-202","Eye","Melanoma","-2.16006","-14.368","SIDM01357","SIDG41059","true","Broad"
"TAF1C","Mel-202","Eye","Melanoma","-2.15934","-15.327","SIDM01357","SIDG37078","true","Broad"
"SRSF2","Mel-202","Eye","Melanoma","-2.15764","-14.348","SIDM01357","SIDG36484","true","Broad"
"WDHD1","Mel-202","Eye","Melanoma","-2.15623","-14.05","SIDM01357","SIDG41029","true","Broad"
"PCNA","Mel-202","Eye","Melanoma","-2.15121","-14.949","SIDM01357","SIDG24143","true","Broad"
"PSMD6","Mel-202","Eye","Melanoma","-2.14999","-14.001","SIDM01357","SIDG26117","true","Broad"
"NSF","Mel-202","Eye","Melanoma","-2.14891","-14.021","SIDM01357","SIDG22323","true","Broad"
"ABCB7","Mel-202","Eye","Melanoma","-2.14762","-14.12","SIDM01357","SIDG00068","true","Broad"
"TBCB","Mel-202","Eye","Melanoma","-2.1454","-14.249","SIDM01357","SIDG37262","true","Broad"
"CDAN1","Mel-202","Eye","Melanoma","-2.14511","-14.37","SIDM01357","SIDG04029","","Broad"
"MARS1","Mel-202","Eye","Melanoma","-2.13156","-13.883","SIDM01357","SIDG17321","true","Broad"
"LETM1","Mel-202","Eye","Melanoma","-2.12965","-14.341","SIDM01357","SIDG14537","true","Broad"
"OGT","Mel-202","Eye","Melanoma","-2.1215","-14.698","SIDM01357","SIDG22631","true","Broad"
"EIF2S3","Mel-202","Eye","Melanoma","-2.12088","-14.997","SIDM01357","SIDG07534","true","Broad"
"EXOSC8","Mel-202","Eye","Melanoma","-2.11711","-13.738","SIDM01357","SIDG08224","true","Broad"
"HUWE1","Mel-202","Eye","Melanoma","-2.11515","-14.003","SIDM01357","SIDG12201","true","Broad"
"POLE2","Mel-202","Eye","Melanoma","-2.11255","-13.732","SIDM01357","SIDG25202","true","Broad"
"ATP6AP1","Mel-202","Eye","Melanoma","-2.11077","-13.824","SIDM01357","SIDG01872","true","Broad"
"SPC25","Mel-202","Eye","Melanoma","-2.11017","-15.505","SIDM01357","SIDG36221","true","Broad"
"RPL7","Mel-202","Eye","Melanoma","-2.10919","-14.172","SIDM01357","SIDG31399","true","Broad"
"PSMA1","Mel-202","Eye","Melanoma","-2.10907","-15.495","SIDM01357","SIDG26053","true","Broad"
"NUTF2","Mel-202","Eye","Melanoma","-2.1064","-13.789","SIDM01357","SIDG22493","true","Broad"
"SNRPD2","Mel-202","Eye","Melanoma","-2.0993","-13.627","SIDM01357","SIDG35902","true","Broad"
"DDB1","Mel-202","Eye","Melanoma","-2.09787","-14.498","SIDM01357","SIDG06165","true","Broad"
